index,REPLACE1,REPLACE2,REPLACE3,REPLACE4,REPLACE5,REPLACE6
1,Berriasian,CC1,FO of Nannoconus steinmannii to FO of Stradneria crenulata,Nannoconus_steinmannii_Base_Time,Stradneria_crenulata_Base_Time,"Worsley (1971), emended by Thierstein (1971) and Sissingh (1977)"
2,Berriasian,CC2,FO of Stradneria crenulata to FO of Calcicalathina oblongata,Stradneria_crenulata_Base_Time,Calcicalathina_oblongata_Base_Time,"Thierstein (1971), nom. corr."
3,Valanginian,CC3,FO of Calcicalathina oblongata to FO of Cretarhabdus loriei,Calcicalathina_oblongata_Base_Time,Cretarhabdus_loriei_Base_Time,"Thierstein (1971), emended by Sissingh (1977)"
4,Hauterivian,CC4,FO of Cretarhabdus loriei to LO of Speetonia colligata,Cretarhabdus_loriei_Base_Time,Speetonia_colligata_Top_Time,Sissingh (1977)
5,Hauterivian,CC5,LO of Speetonia colligata to LO of Calcicalathina oblongata,Speetonia_colligata_Top_Time,Calcicalathina_oblongata_Top_Time,"Thierstein (1971), emended by Sissingh (1977)"
6,Barremian,CC6,LO of Calcicalathina oblongata to FO of Chiastozygus litterarius,Calcicalathina_oblongata_Top_Time,Chiastozygus_litterarius_Base_Time,"Thierstein (1971), emended by Thierstein (1973) and Sissingh (1977)"
7,Aptian,CC7,FO of Chiastozygus litterarius to FO of Prediscosphaera columnata,Chiastozygus_litterarius_Base_Time,Prediscosphaera_columnata_Base_Time,"Thierstein (1971), emended by Manivit et al. (1977)"
8,Albian,CC8,FO of Prediscosphaera columnata to FO of Eiffellithus turriseiffelii,Prediscosphaera_columnata_Base_Time,Eiffellithus_turriseiffelii_Base_Time,"Thierstein (1971), emended by Manivit et al. (1977)"
9,Albian,CC9,FO of Eiffellithus turriseiffelii to FO of Microrhabdulus decoratus,Eiffellithus_turriseiffelii_Base_Time,Microrhabdulus_decoratus_Base_Time,"Thierstein (1971), emended by Sissingh (1977)"
10,Cenomanian,CC10,FO of Microrhabdulus decoratus to FO of Quadrum gartneri,Microrhabdulus_decoratus_Base_Time,Quadrum_gartneri_Base_Time,Sissingh (1977)
11,Turonian,CC11,FO of Quadrum gartneri to FO of Lucianorhabdus maleformis,Quadrum_gartneri_Base_Time,Lucianorhabdus_maleformis_Base_Time,"Cepek & Hay (1969, 1970), emended by Sissingh (1977), nom. corr."
12,Turonian,CC12,FO of Lucianorhabdus maleformis to FO of Marthasterites furcatus,Lucianorhabdus_maleformis_Base_Time,Marthasterites_furcatus_Base_Time,Sissingh (1977)
13,Coniacian,CC13,FO of Marthasterites furcatus to FO of Micula decussata,Marthasterites_furcatus_Base_Time,Micula_decussata_Base_Time,"Cepek & Hay (1969), emended by Sissingh (1977)"
14,Coniacian,CC14,FO of Micula decussata to FO of Reinhardtites anthophorus,Micula_decussata_Base_Time,Reinhardtites_anthophorus_Base_Time,"Manivit (1971), emended Sissingh (1977)"
15,Santonian,CC15,FO of Reinhardtites anthophorus to FO of Lucianorhabdus cayeuxii,Reinhardtites_anthophorus_Base_Time,Lucianorhabdus_cayeuxii_Base_Time,Sissingh (1977)
16,Santonian,CC16,FO of Lucianorhabdus cayeuxiito FO of Calculites obscurus,Lucianorhabdus_cayeuxii_Base_Time,Calculites_obscurus_Base_Time,Sissingh (1977)
17,Santonian,CC17,FO of Calculites obscurus to FO of Aspidolithus ex. gr. parcus,Calculites_obscurus_Base_Time,Aspidolithus_ex_gr._parcus_Base_Time,Sissingh (1977)
18,Campanian,CC18,FO of Aspidolithus ex gr. parcus to LO of Marthasterites furcatus,Aspidolithus_ex_gr._parcus_Base_Time,Marthasterites_furcatus_Top_Time,Sissingh (1977)
19,Campanian,CC19,LO of Marthasterites furcatus to FO of Ceratolithoides aculeus,Marthasterites_furcatus_Top_Time,Ceratolithoides_aculeus_Base_Time,Sissingh (1977)
20,Campanian,CC20,FO of Ceratolithoides aculeus to FO of Quadrum sissinghii,Ceratolithoides_aculeus_Base_Time,Quadrum_sissinghii_Base_Time,"Cepek & Hay (1969), emended by Martini (1976), nom. corr."
21,Campanian,CC21,FO of Quadrum sissinghii to FO of Quadrum trifidum,Quadrum_sissinghii_Base_Time,Quadrum_trifidum_Base_Time,"Sissingh (1977), nom. corr."
22,Campanian,CC22,FO of Quadrum trifidum to LO of Reinhardtites anthophorus,Quadrum_trifidum_Base_Time,Reinhardtites_anthophorus_Top_Time,"Bukry & Bramlette (1970), emended by Sissingh (1977), nom. corr."
23,Campanian,CC23,LO of Reinhardtites anthophorus to LO of Tranolithus phacelosus,Reinhardtites_anthophorus_Top_Time,Tranolithus_phacelosus_Top_Time,Sissingh (1977)
24,Maastrichtian,CC24,LO of Tranolithus phacelosus to LO of Reinhardtites levis,Tranolithus_phacelosus_Top_Time,Reinhardtites_levis_Top_Time,Sissmgh (1977)
25,Maastrichtian,CC25,LO of Reinhardtites levis to FO of Nephrolithus frequens,Reinhardtites_levis_Top_Time,Nephrolithus_frequens_Base_Time,"Perch-Nielsen (1972), emended by Sissingh (1977)"
26,Maastrichtian,CC26,FO to LO of Nephrolithus frequens,Nephrolithus_frequens_Base_Time,Nephrolithus_frequens_Top_Time,Cepek & Hay (1969)
